#{"t_start": 1784182486.7544653, "env_id": "CartPole-v1"}
r,l,t
14.0,14,1.020857
22.0,22,1.020857
26.0,26,1.020857
12.0,12,1.020857
26.0,26,1.020857
54.0,54,1.036477
15.0,15,1.036477
20.0,20,1.036477
15.0,15,1.036477
11.0,11,1.036477
15.0,15,1.036477
51.0,51,1.036477
19.0,19,1.036477
33.0,33,1.036477
16.0,16,1.036477
35.0,35,1.052101
13.0,13,1.052101
12.0,12,1.052101
15.0,15,1.052101
17.0,17,1.052101
17.0,17,1.052101
24.0,24,1.052101
56.0,56,1.052101
12.0,12,1.052101
14.0,14,1.052101
12.0,12,1.052101
38.0,38,1.067725
52.0,52,1.067725
13.0,13,1.067725
12.0,12,1.067725
23.0,23,1.067725
13.0,13,1.067725
26.0,26,1.067725
16.0,16,1.067725
19.0,19,1.083558
18.0,18,1.083558
23.0,23,1.083558
17.0,17,1.083558
15.0,15,1.083558
28.0,28,1.083558
11.0,11,1.083558
20.0,20,1.083558
24.0,24,1.083558
17.0,17,1.099185
26.0,26,1.099185
17.0,17,1.099185
23.0,23,1.399974
15.0,15,1.399974
10.0,10,1.399974
17.0,17,1.399974
15.0,15,1.415588
13.0,13,1.415588
20.0,20,1.415588
16.0,16,1.431564
13.0,13,1.431564
15.0,15,1.431564
11.0,11,1.431564
27.0,27,1.447336
42.0,42,1.447336
39.0,39,1.463334
22.0,22,1.905131
17.0,17,1.905131
15.0,15,1.905131
52.0,52,1.905131
19.0,19,1.905131
17.0,17,1.920758
18.0,18,1.920758
11.0,11,1.920758
12.0,12,1.920758
15.0,15,1.920758
32.0,32,1.920758
22.0,22,1.920758
77.0,77,2.218642
19.0,19,2.234371
10.0,10,2.234371
13.0,13,2.234371
14.0,14,2.25026
15.0,15,2.25026
33.0,33,2.25026
14.0,14,2.265896
15.0,15,2.265896
19.0,19,2.265896
15.0,15,2.28159
36.0,36,2.5793
35.0,35,2.5793
47.0,47,2.5793
14.0,14,2.5793
17.0,17,2.595134
20.0,20,2.595134
26.0,26,2.595134
16.0,16,2.595134
14.0,14,2.595134
16.0,16,2.595134
15.0,15,2.595134
10.0,10,2.595134
11.0,11,2.908458
15.0,15,2.908458
17.0,17,2.924395
15.0,15,2.924395
19.0,19,2.924395
23.0,23,2.924395
23.0,23,2.924395
28.0,28,2.924395
23.0,23,2.924395
26.0,26,2.924395
62.0,62,2.940378
26.0,26,3.383015
24.0,24,3.383015
16.0,16,3.383015
37.0,37,3.383015
47.0,47,3.398638
23.0,23,3.398638
14.0,14,3.398638
16.0,16,3.398638
12.0,12,3.398638
29.0,29,3.398638
45.0,45,3.758903
13.0,13,3.758903
9.0,9,3.758903
39.0,39,3.774527
15.0,15,3.774527
28.0,28,3.774527
24.0,24,3.774527
21.0,21,3.774527
35.0,35,3.790249
53.0,53,4.21652
29.0,29,4.232561
26.0,26,4.232561
19.0,19,4.248577
22.0,22,4.248577
17.0,17,4.248577
24.0,24,4.248577
29.0,29,4.264122
17.0,17,4.264122
31.0,31,4.264122
11.0,11,4.264122
21.0,21,4.783468
11.0,11,4.783468
48.0,48,4.783468
33.0,33,4.783468
13.0,13,4.783468
26.0,26,4.799091
24.0,24,4.799091
16.0,16,4.799091
10.0,10,4.799091
18.0,18,4.799091
17.0,17,4.799091
16.0,16,4.799091
23.0,23,5.145829
37.0,37,5.145829
12.0,12,5.145829
16.0,16,5.161721
12.0,12,5.161721
26.0,26,5.161721
29.0,29,5.17764
43.0,43,5.17764
28.0,28,5.193697
12.0,12,5.193697
12.0,12,5.193697
15.0,15,5.193697
13.0,13,5.571693
12.0,12,5.571693
27.0,27,5.571693
51.0,51,5.571693
47.0,47,5.571693
28.0,28,5.58757
11.0,11,5.58757
56.0,56,5.58757
15.0,15,5.58757
10.0,10,5.917884
38.0,38,5.933508
19.0,19,5.933508
10.0,10,5.933508
45.0,45,5.933508
12.0,12,5.933508
28.0,28,5.933508
18.0,18,5.933508
31.0,31,5.949354
21.0,21,5.949354
16.0,16,5.949354
15.0,15,5.949354
14.0,14,6.344061
92.0,92,6.360662
24.0,24,6.360662
18.0,18,6.360662
14.0,14,6.375676
17.0,17,6.375676
21.0,21,6.375676
16.0,16,6.391323
16.0,16,6.391323
46.0,46,6.899377
21.0,21,6.899377
13.0,13,6.899377
18.0,18,6.899377
16.0,16,6.899377
